epoch,loss,acc
1,2.177295040173136,29.34
2,1.8381534047946808,38.39
3,1.6291744458447597,43.92
4,1.5150103925899336,46.83
5,1.4309472855488965,51.63
6,1.3581000900572273,52.03
7,1.2715025509998297,56.65
8,1.1963284600312543,58.78
9,1.1376938569317958,60.28
10,1.075463106298143,60.64
11,1.0328671320988114,58.54
12,1.0013879727406108,56.41
13,0.9769164699657708,62.51
14,0.9597233370610863,66.64
15,0.9378600735573253,65.13
16,0.9276303732471102,66.6
17,0.9281803688425927,65.54
18,0.916848642431247,68.31
19,0.9103194012004099,67.18
20,0.9043533164224807,68.48
21,0.9062093822819413,68.31
