epoch,loss,acc
1,2.1785807343804913,29.1
2,1.8418619070842768,37.64
3,1.6301391094353548,42.68
4,1.5219889195861331,48.5
5,1.4382393071605901,52.5
6,1.356933809389734,51.9
7,1.2680941615135046,55.88
8,1.1861105899142612,57.82
9,1.131333797980266,57.51
10,1.0696635162754424,64.61
11,1.0274449229999711,64.08
12,0.9925355979591418,63.0
13,0.9756770851505789,63.02
14,0.9506481251898845,69.31
15,0.9329118857717817,65.01
16,0.929008960723877,66.17
17,0.9103884021188043,65.31
18,0.917219095169359,67.72
19,0.8990671744771824,68.76
20,0.8978672855219264,66.97
21,0.904260567798736,59.75
22,0.9035536787312501,63.63
23,0.8988867014836354,66.81
24,0.8986154931366064,67.04
25,0.887170171282094,66.79
26,0.8917356710525075,65.85
27,0.8771925629324214,69.84
28,0.8881818640763592,63.98
29,0.8756351645585079,70.7
30,0.8704259835990371,64.83
31,0.8749369937143509,70.78
32,0.8649941754948561,64.87
33,0.8500771237786409,68.99
34,0.8571725749665764,68.88
35,0.8473148224460092,68.62
36,0.8483700190380121,67.29
37,0.8372673293587508,70.08
38,0.8271650721313087,72.35
39,0.8364643173612607,67.63
40,0.8226946292409472,70.47
41,0.8302854739936294,68.75
42,0.8232179739672667,70.29
43,0.8126563619656167,70.95
44,0.8072863953888036,70.75
45,0.806992902497577,65.07
46,0.8117619183412783,66.08
47,0.8037816882133484,70.71
48,0.7925535664436923,69.35
49,0.7940142545730445,73.38
50,0.7834675980221694,72.63
51,0.7680043365545334,73.02
52,0.7643550045930656,73.34
53,0.7612947385022595,67.97
54,0.7599701399256469,69.55
55,0.756681379618918,71.17
56,0.7522958076683579,72.24
57,0.74283824111246,71.09
58,0.7394567500254151,67.43
59,0.7358409591541168,73.97
60,0.72567908247565,73.61
61,0.7188987219409578,69.47
62,0.7060297769346054,74.12
63,0.7020019634514097,74.98
64,0.6934928254337068,75.59
65,0.6892151263109438,67.99
66,0.6921747247124933,74.06
67,0.6776091160288282,68.49
68,0.6784499226861699,75.74
69,0.6567347725485541,72.14
70,0.6564106476155056,77.52
71,0.649016915802743,76.95
72,0.6334278425972932,75.9
73,0.6333516323642366,76.65
74,0.6274416657390108,75.22
75,0.6166782417115132,77.16
76,0.6118968979568239,78.12
77,0.609869436093956,77.35
78,0.5977819979570473,78.12
79,0.5888686257942467,78.61
80,0.574367557361627,78.54
81,0.5626694816312973,79.78
82,0.5531496899143146,78.61
83,0.5486785613807144,80.06
84,0.5392237820063427,79.85
85,0.52342415007816,79.54
86,0.5209102754000645,80.39
87,0.5135067686153825,80.27
88,0.5037737879783485,80.47
89,0.5024571447235764,80.76
90,0.49279854157168396,81.15
91,0.4851079205418848,81.5
92,0.48078978707076636,81.29
93,0.472151551846486,81.95
94,0.463719549642247,81.59
95,0.46373453717322866,81.91
96,0.4565560561456498,81.78
97,0.44960307467515304,81.85
98,0.4547830554330425,82.52
99,0.44729766989969144,81.98
100,0.4444929346157487,81.85
