epoch,loss,acc
1,4.535174354083008,65.64551422319475
2,2.729487438996633,79.21225382932167
3,1.9428084707922406,85.79868708971554
4,1.4542701405783494,85.55798687089715
5,1.1727216138194005,89.40919037199124
6,0.9039454673313432,89.80306345733041
7,0.760072665858186,92.21006564551422
8,0.5988927078950737,93.26039387308533
9,0.5002933086103035,93.21663019693655
10,0.40681398287415504,93.93873085339169
11,0.29029936534870004,93.15098468271334
12,0.19703866827896693,95.40481400437636
13,0.12662894507714859,94.37636761487965
14,0.08867638335019971,95.92997811816193
15,0.05620232033834327,96.01750547045953
16,0.037017478031177435,96.2582056892779
17,0.02008542658101457,96.14879649890591
18,0.0173618140429931,96.3019693654267
19,0.01507396909679907,96.32385120350109
20,0.013500685423625529,96.32385120350109
