epoch,loss,acc
1,4.541383215122753,65.1422319474836
2,2.7628827964266143,77.72428884026259
3,1.9746643900871277,84.42013129102844
4,1.4957874870548646,84.26695842450766
5,1.2225697511393163,89.71553610503283
6,0.967404176791509,90.59080962800876
7,0.7941863760352135,91.18161925601751
8,0.6459599934104416,92.64770240700219
9,0.5173757495099885,93.34792122538293
10,0.4315071323265632,94.00437636761488
11,0.3326808527086137,94.15754923413567
12,0.2639075926078173,94.70459518599563
13,0.18706851321945173,94.68271334792122
14,0.1354354252139779,95.36105032822758
15,0.08589710008204242,95.82056892778994
16,0.059022290263480194,96.10503282275711
17,0.02763059884536132,96.36761487964989
18,0.02185886424397015,96.23632385120351
19,0.01949514164071944,96.38949671772428
20,0.01760290645486546,96.23632385120351
