epoch,loss,acc
1,3.5128844272759228,75.51422319474835
2,10.56882996029324,81.77242888402625
3,18.060820672247146,85.77680525164114
4,25.625634650389355,87.33041575492341
5,33.33413394292196,89.38730853391685
6,40.96227257781558,91.2253829321663
7,40.609914104143776,91.96936542669584
8,40.34088391727872,92.64770240700219
9,40.121695624457466,93.36980306345733
10,40.01467858420478,93.41356673960613
11,39.90436563226912,93.96061269146608
12,39.80682057804532,94.31072210065645
13,39.737371603647865,94.20131291028446
14,39.702731251716614,94.48577680525165
15,39.70843370755514,94.22319474835886
